season,season_id,division_id,competition_phase,game_id,gohoops_game_id,game_date,game_datetime_local,timezone,home_team_id,away_team_id,home_team,away_team,home_points,away_points,status,venue,periods
2025-26,2,9,regular_season,1474,8165,2026-04-04,2026-04-04 14:30:00,Asia/Taipei,6,3,新北中信特攻,福爾摩沙夢想家,108,104,COMPLETED,新莊體育館,4
2025-26,2,9,regular_season,1475,8166,2026-04-04,2026-04-04 17:00:00,Asia/Taipei,5,2,桃園台啤永豐雲豹,高雄全家海神,105,74,COMPLETED,中壢國民運動中心,4
2025-26,2,9,regular_season,1476,8167,2026-04-05,2026-04-05 14:30:00,Asia/Taipei,6,7,新北中信特攻,新北國王,98,78,COMPLETED,新莊體育館,4
2025-26,2,9,regular_season,1477,8168,2026-04-05,2026-04-05 17:00:00,Asia/Taipei,5,8,桃園台啤永豐雲豹,臺北台新戰神,107,96,COMPLETED,中壢國民運動中心,4
2025-26,2,9,regular_season,1478,8169,2026-04-08,2026-04-08 19:00:00,Asia/Taipei,4,6,新竹御嵿攻城獅,新北中信特攻,117,100,COMPLETED,新竹縣體育館,4
2025-26,2,9,regular_season,1479,8170,2026-04-11,2026-04-11 14:30:00,Asia/Taipei,2,7,高雄全家海神,新北國王,111,112,COMPLETED,高雄巨蛋,4
2025-26,2,9,regular_season,1480,8171,2026-04-11,2026-04-11 17:00:00,Asia/Taipei,4,5,新竹御嵿攻城獅,桃園台啤永豐雲豹,79,76,COMPLETED,新竹縣體育館,4
2025-26,2,9,regular_season,1481,8172,2026-04-12,2026-04-12 14:30:00,Asia/Taipei,2,8,高雄全家海神,臺北台新戰神,93,104,COMPLETED,高雄巨蛋,4
2025-26,2,9,regular_season,1482,8173,2026-04-12,2026-04-12 17:00:00,Asia/Taipei,4,3,新竹御嵿攻城獅,福爾摩沙夢想家,85,94,COMPLETED,新竹縣體育館,4
2025-26,2,9,regular_season,1483,8174,2026-04-18,2026-04-18 14:30:00,Asia/Taipei,3,8,福爾摩沙夢想家,臺北台新戰神,99,66,COMPLETED,臺中洲際迷你蛋,4
2025-26,2,9,regular_season,1484,8175,2026-04-18,2026-04-18 17:00:00,Asia/Taipei,6,5,新北中信特攻,桃園台啤永豐雲豹,107,93,COMPLETED,新莊體育館,4
2025-26,2,9,regular_season,1485,8176,2026-04-19,2026-04-19 14:30:00,Asia/Taipei,3,4,福爾摩沙夢想家,新竹御嵿攻城獅,92,86,COMPLETED,臺中洲際迷你蛋,4
2025-26,2,9,regular_season,1486,8177,2026-04-19,2026-04-19 17:00:00,Asia/Taipei,6,2,新北中信特攻,高雄全家海神,115,99,COMPLETED,新莊體育館,4
2025-26,2,9,regular_season,1487,8178,2026-04-24,2026-04-24 19:00:00,Asia/Taipei,7,3,新北國王,福爾摩沙夢想家,105,99,COMPLETED,新莊體育館,4
2025-26,2,9,regular_season,1488,8179,2026-04-25,2026-04-25 17:00:00,Asia/Taipei,8,4,臺北台新戰神,新竹御嵿攻城獅,86,104,COMPLETED,和平籃球館,4
2025-26,2,9,regular_season,1503,8203,2026-04-25,2026-04-25 14:30:00,Asia/Taipei,5,2,桃園台啤永豐雲豹,高雄全家海神,99,85,COMPLETED,桃園巨蛋,4
2025-26,2,9,regular_season,1489,8180,2026-04-26,2026-04-26 14:30:00,Asia/Taipei,5,3,桃園台啤永豐雲豹,福爾摩沙夢想家,104,100,COMPLETED,桃園巨蛋,4
2025-26,2,9,regular_season,1490,8181,2026-04-26,2026-04-26 17:00:00,Asia/Taipei,8,6,臺北台新戰神,新北中信特攻,103,111,COMPLETED,和平籃球館,4
2025-26,2,9,regular_season,1491,8182,2026-04-29,2026-04-29 19:00:00,Asia/Taipei,4,7,新竹御嵿攻城獅,新北國王,98,78,COMPLETED,新竹縣體育館,4
2025-26,2,9,regular_season,1492,8183,2026-05-02,2026-05-02 14:30:00,Asia/Taipei,4,8,新竹御嵿攻城獅,臺北台新戰神,96,73,COMPLETED,新竹縣體育館,4
2025-26,2,9,regular_season,1493,8184,2026-05-02,2026-05-02 17:00:00,Asia/Taipei,7,5,新北國王,桃園台啤永豐雲豹,97,94,COMPLETED,新莊體育館,4
2025-26,2,9,regular_season,1494,8185,2026-05-03,2026-05-03 14:30:00,Asia/Taipei,4,2,新竹御嵿攻城獅,高雄全家海神,102,99,COMPLETED,新竹縣體育館,4
2025-26,2,9,regular_season,1495,8186,2026-05-03,2026-05-03 17:00:00,Asia/Taipei,7,6,新北國王,新北中信特攻,87,111,COMPLETED,新莊體育館,4
2025-26,2,11,play_in,6026,9472,2026-05-05,2026-05-05 19:00:00,Asia/Taipei,7,6,新北國王,新北中信特攻,102,86,COMPLETED,新莊體育館,4
2025-26,2,11,play_in,6027,9473,2026-05-06,2026-05-06 19:00:00,Asia/Taipei,6,7,新北中信特攻,新北國王,90,96,COMPLETED,和平籃球館,4
2025-26,2,12,playoffs,6033,9479,2026-05-09,2026-05-09 17:00:00,Asia/Taipei,3,4,福爾摩沙夢想家,新竹御嵿攻城獅,94,97,COMPLETED,臺中洲際迷你蛋,4
2025-26,2,12,playoffs,6316,9590,2026-05-10,2026-05-10 17:00:00,Asia/Taipei,5,7,桃園台啤永豐雲豹,新北國王,105,113,COMPLETED,桃園巨蛋,4
2025-26,2,12,playoffs,6034,9480,2026-05-12,2026-05-12 19:00:00,Asia/Taipei,3,4,福爾摩沙夢想家,新竹御嵿攻城獅,83,61,COMPLETED,臺中洲際迷你蛋,4
2025-26,2,12,playoffs,6317,9591,2026-05-13,2026-05-13 19:00:00,Asia/Taipei,5,7,桃園台啤永豐雲豹,新北國王,114,92,COMPLETED,桃園巨蛋,4
2025-26,2,12,playoffs,6035,9481,2026-05-14,2026-05-14 19:00:00,Asia/Taipei,4,3,新竹御嵿攻城獅,福爾摩沙夢想家,106,114,COMPLETED,新竹縣體育館,4
2025-26,2,12,playoffs,6318,9592,2026-05-15,2026-05-15 19:00:00,Asia/Taipei,7,5,新北國王,桃園台啤永豐雲豹,104,102,COMPLETED,和平籃球館,4
2025-26,2,12,playoffs,6036,9482,2026-05-16,2026-05-16 17:00:00,Asia/Taipei,4,3,新竹御嵿攻城獅,福爾摩沙夢想家,93,104,COMPLETED,新竹縣體育館,4
